,,,,,,,,,,,,,,,,,,
188,South Carolina,SEC,,,11,21,64.3,72.6,-8.28,,6.4,,-3.34,1.46,-1.88,99.09,102.48,-3.39
189,Lipscomb,A-Sun,,,20,13,76.4,71,5.39,,-3.97,,1.66,-3.57,-1.91,98.35,101.35,-2.99
190,Cleveland State,Horizon,,,21,13,71.7,68.1,3.62,,-4.95,,-2.27,0.35,-1.92,98.67,101.7,-3.03
191,Texas State,Sun Belt,,,16,19,66,66.7,-0.71,,-0.45,,-5.14,3.06,-2.08,98.42,101.84,-3.42
192,Wright State,Horizon,,,18,15,79.9,73.7,6.21,,-5.67,,4.3,-6.42,-2.12,98.83,102.16,-3.33
193,Chattanooga,Southern,,,18,17,77.2,72.1,5.11,,-3.19,,2.02,-4.21,-2.19,101.93,105.17,-3.25
194,Northern Iowa,MVC,,,14,18,70.1,69.9,0.19,,-0.59,,-1.25,-0.96,-2.2,98.55,101.87,-3.32
195,Drexel,CAA,,,17,15,66.7,62.4,4.31,,-5.42,,-6.39,4.14,-2.26,95.49,98.42,-2.93
196,Texas A&M-Corpus Christi,Southland,,,23,10,80.4,72.5,7.85,,-7.68,,2.38,-4.71,-2.34,99.11,102.34,-3.24
197,Quinnipiac,MAAC,,,20,12,73,69.7,3.25,,-5.16,,1.21,-3.6,-2.39,98.39,102.02,-3.63
198,Radford,Big South,,,19,14,69.7,64.9,4.82,,-4.48,,-4.73,2.29,-2.45,98.19,101.88,-3.69
199,Eastern Kentucky,A-Sun,,,20,13,77.4,72.1,5.24,,-2.11,,0.23,-2.71,-2.48,95.85,99.24,-3.38
200,Abilene Christian,WAC,,,13,17,75,71.1,3.87,,1.15,,1.35,-3.89,-2.54,99.67,103.22,-3.55
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
201,Stetson,A-Sun,,,17,13,76.6,73.3,3.27,,-2.57,,2.25,-4.82,-2.57,105.81,109.5,-3.69
202,Florida Gulf Coast,A-Sun,,,17,15,71.3,69.4,1.81,,-3.03,,-1.91,-0.67,-2.58,98.2,102.11,-3.91
203,Weber State,Big Sky,,,18,15,67.2,67.5,-0.3,,-1.02,,-5.38,2.74,-2.63,94.47,98.72,-4.25
204,La Salle,A-10,,,15,19,69.8,72.6,-2.76,,0.13,,-0.55,-2.09,-2.64,98.29,102.3,-4.02
205,Brown,Ivy,,,14,13,69.6,69.3,0.22,,-2.9,,-2.49,-0.19,-2.68,94.38,98.05,-3.68
206,Buffalo,MAC,,,15,17,77.5,77.7,-0.13,,0.95,,3.79,-6.47,-2.68,98.26,101.32,-3.05
207,St. Thomas,Summit,,,19,14,74.2,70.2,3.97,,-4.25,,-0.32,-2.38,-2.71,102.24,106.01,-3.77
208,Rice,CUSA,,,18,15,76.7,76.4,0.27,,0.95,,4.54,-7.28,-2.75,102.1,106.13,-4.03
209,Navy,Patriot,,,18,13,69.4,64.9,4.48,,-6.09,,-4.7,1.94,-2.76,96.95,100.92,-3.97
210,North Carolina Central,MEAC,,,18,12,75.6,65.9,9.7,,-5.97,,-2.59,-0.19,-2.78,94.74,98.71,-3.98
211,California,Pac-12,,,3,29,58.3,70.1,-11.78,,8.89,,-7.45,4.55,-2.9,93.59,99.5,-5.91
212,Detroit Mercy,Horizon,,,14,19,76.6,75.3,1.24,,-3.43,,3.09,-6.12,-3.03,104.51,109.16,-4.65
213,Georgia Southern,Sun Belt,,,17,16,68.4,66.7,1.7,,-1.82,,-4.83,1.77,-3.05,94.45,98.97,-4.52
214,Florida International,CUSA,,,14,18,73.1,75.1,-2.03,,-0.04,,1.4,-4.47,-3.07,97.15,101.14,-4
215,Siena,MAAC,,,17,15,68.6,67.2,1.38,,-4.73,,-2.83,-0.53,-3.36,96.43,101.24,-4.8
216,Rider,MAAC,,,16,14,70.2,67.6,2.6,,-4.8,,-2.07,-1.33,-3.39,100.35,105.26,-4.91
217,Norfolk State,MEAC,,,22,11,75.8,68.6,7.18,,-6.36,,-1.3,-2.17,-3.46,101.66,106.63,-4.97
218,Bryant,AEC,,,17,13,79.4,73.1,6.27,,-4.57,,3.7,-7.35,-3.64,98.8,104.07,-5.28
219,Grambling,SWAC,,,24,9,69,62.2,6.73,,-8.1,,-6.65,2.99,-3.65,91.79,96.66,-4.87
220,Northern Arizona,Big Sky,,,12,23,73.7,74.7,-0.97,,-0.04,,0.95,-4.66,-3.7,101.03,106.35,-5.32
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
221,Gardner-Webb,Big South,,,15,16,70.7,65.5,5.16,,-4.62,,-5.78,1.96,-3.82,92.13,97.6,-5.46
222,Rhode Island,A-10,,,9,22,66,70.6,-4.65,,0.66,,-4.33,0.35,-3.99,93.02,98.62,-5.6
223,Murray State,MVC,,,17,15,70.4,72,-1.59,,-1.18,,-0.63,-3.39,-4.02,99.67,106.22,-6.55
224,North Dakota State,Summit,,,16,17,72.8,73.2,-0.3,,-1.59,,-1.07,-2.97,-4.04,98.28,103.97,-5.69
225,Northern Colorado,Big Sky,,,12,20,73.6,77.5,-3.91,,-0.27,,3.13,-7.39,-4.27,100.42,106.7,-6.28
226,Queens (NC),A-Sun,,,18,15,77.7,74.6,3.06,,-4.37,,2.53,-6.8,-4.27,100.8,107.3,-6.5
227,Sacramento State,Big Sky,,,14,18,66.1,67.8,-1.72,,-1.28,,-5.92,1.62,-4.31,97.55,104.41,-6.85
228,Northwestern State,Southland,,,22,11,74.6,72.1,2.58,,-6.65,,-1.38,-2.96,-4.34,97.15,103.37,-6.23
229,Loyola (IL),A-10,,,10,21,67.4,72.5,-5.1,,0.62,,-3.01,-1.47,-4.48,96.88,103.33,-6.44
230,Milwaukee,Horizon,,,21,11,78.3,73.8,4.5,,-3.99,,2.61,-7.12,-4.51,96.65,103.2,-6.55
231,Howard,MEAC,,,22,12,75.5,71.9,3.53,,-5.77,,-1.04,-3.73,-4.77,95.73,102.79,-7.06
232,UT Arlington,WAC,,,11,21,66.4,68.4,-2.03,,2.33,,-5.79,1.01,-4.78,94.54,102.12,-7.58
233,Portland State,Big Sky,,,12,19,76.2,75.5,0.74,,-0.24,,3.06,-7.89,-4.83,97.07,103.78,-6.72
234,Wofford,Southern,,,17,16,74.7,72.5,2.24,,-3.15,,0.01,-4.85,-4.85,102.5,109.84,-7.34
235,Mercer,Southern,,,14,19,68.7,67,1.73,,-3.88,,-6.83,1.82,-5.01,93.83,101.24,-7.41
236,Purdue-Fort Wayne,Horizon,,,17,15,73.9,69.8,4.06,,-4.7,,-2.57,-2.63,-5.2,94.22,102.42,-8.19
237,Campbell,Big South,,,16,18,69.8,68.5,1.32,,-4.89,,-3.56,-1.67,-5.23,97.66,105.59,-7.93
238,Louisville,ACC,,,4,28,63.9,75.8,-11.84,,6.49,,-3.58,-1.77,-5.36,97.09,105.58,-8.49
239,Delaware,CAA,,,17,16,69.6,70.7,-1.06,,-3.74,,-2.76,-2.82,-5.58,96.75,104.46,-7.71
240,Robert Morris,Horizon,,,16,17,69.3,66.8,2.48,,-5.35,,-6.48,0.88,-5.61,93.02,101.41,-8.39
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
241,East Tennessee State,Southern,,,12,20,69.1,69,0.09,,-4.32,,-5.43,-0.46,-5.88,95.14,103.91,-8.78
242,Northern Illinois,MAC,,,13,19,72,75,-3.03,,-2.27,,-2.19,-3.98,-6.17,94.35,102.95,-8.6
243,Texas-Rio Grande Valley,WAC,,,15,17,78.7,78.2,0.5,,-0.27,,3.97,-10.17,-6.2,97.04,105.61,-8.57
244,Western Carolina,Southern,,,18,15,74.5,70.9,3.55,,-4.18,,-1.81,-4.4,-6.21,95.3,104.18,-8.89
245,Jacksonville,A-Sun,,,13,16,63.3,62.6,0.72,,-2.58,,-11.76,5.53,-6.23,93.03,102.55,-9.53
246,Idaho State,Big Sky,,,11,21,69.2,71,-1.84,,-2.66,,-4.18,-2.08,-6.26,96.16,105.44,-9.28
247,Maryland-Baltimore County,AEC,,,18,14,74.3,72.8,1.56,,-7.02,,-0.28,-5.99,-6.28,100.03,109.24,-9.2
248,SIU Edwardsville,OVC,,,19,14,74.6,71.3,3.33,,-7.36,,-2.9,-3.4,-6.3,93.98,102.77,-8.79
249,UC San Diego,Big West,,,10,20,68.6,73,-4.4,,-0.31,,-2.94,-3.55,-6.49,95.26,105.54,-10.28
250,Jacksonville State,A-Sun,,,13,18,69.9,70.3,-0.39,,-2.49,,-5.3,-1.26,-6.56,94.47,104.43,-9.96
251,Winthrop,Big South,,,15,17,73.8,74.4,-0.69,,-3.55,,0.55,-7.13,-6.58,101.28,111.06,-9.78
252,Georgia State,Sun Belt,,,10,21,66.7,69.4,-2.65,,-0.74,,-5.6,-0.99,-6.59,92.41,102.12,-9.71
253,North Florida,A-Sun,,,14,17,76.2,77.6,-1.35,,-2.42,,2.53,-9.15,-6.63,100.78,110.35,-9.57
254,Niagara,MAAC,,,16,15,65,65.9,-0.9,,-4.46,,-8.29,1.63,-6.66,95.81,105.97,-10.16
255,Fairfield,MAAC,,,13,18,64.9,66,-1.06,,-4.44,,-7.14,0.23,-6.91,93.31,103.75,-10.45
256,Canisius,MAAC,,,10,20,70.4,72.3,-1.93,,-3.34,,-2.2,-4.73,-6.92,95.6,105.38,-9.78
257,Illinois State,MVC,,,11,21,66.5,70.5,-4,,-2.94,,-5.44,-1.5,-6.94,94.79,104.82,-10.03
258,Cal Poly,Big West,,,8,25,60.8,65.9,-5.09,,-0.07,,-10.98,3.94,-7.04,88.64,100.02,-11.38
259,Miami (OH),MAC,,,12,20,73.7,74.5,-0.88,,-2.02,,-2.03,-5.02,-7.05,99.28,109.21,-9.94
260,North Dakota,Summit,,,13,20,72.1,73.9,-1.76,,-2.62,,-2,-5.13,-7.13,97.46,108.14,-10.68
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
261,Western Illinois,Summit,,,16,14,73,72.4,0.67,,-4.3,,-3.27,-3.88,-7.15,96.61,107.54,-10.93
262,Southeast Missouri State,OVC,,,19,16,77.7,76,1.69,,-6.71,,2.27,-9.47,-7.2,95.02,105.06,-10.04
263,Army,Patriot,,,17,16,73.1,70.4,2.73,,-7.66,,-1.31,-5.9,-7.21,97.1,107.3,-10.2
264,Bellarmine,A-Sun,,,15,18,66.3,67.2,-0.88,,-1.32,,-8.22,0.84,-7.38,95.91,107.55,-11.64
265,Maryland-Eastern Shore,MEAC,,,18,13,69.7,66.3,3.48,,-5.37,,-6.91,-0.61,-7.52,89.14,100.11,-10.97
266,Morehead State,OVC,,,21,11,70.2,66.4,3.81,,-5.94,,-9.31,1.7,-7.61,93.57,103.99,-10.42
267,South Carolina Upstate,Big South,,,16,15,68.9,69.6,-0.71,,-4.06,,-5.23,-2.42,-7.65,92.32,103.98,-11.66
268,Southeastern Louisiana,Southland,,,18,14,77.6,76,1.59,,-6.4,,0.39,-8.07,-7.67,95.63,106.15,-10.51
269,Oakland,Horizon,,,13,19,73.3,76.3,-2.97,,-2.62,,0.18,-7.96,-7.78,98.33,109.44,-11.11
270,Arkansas State,Sun Belt,,,13,20,65.7,67.6,-1.91,,-3.02,,-8.48,0.69,-7.79,94.71,106.49,-11.78
271,Cal State Bakersfield,Big West,,,11,22,60.5,64.7,-4.21,,-1.02,,-11.08,3.19,-7.89,88.84,101.11,-12.27
272,Lafayette,Patriot,,,11,23,62.4,65.6,-3.29,,-4.63,,-11.04,3.12,-7.92,89.2,101.25,-12.05
273,Mount St. Mary's,MAAC,,,13,20,63.7,67,-3.36,,-3.86,,-7.85,-0.17,-8.01,90.54,102.39,-11.85
274,UTSA,CUSA,,,10,22,69.3,76.6,-7.28,,0.86,,-0.84,-7.2,-8.04,96.21,107.36,-11.15
275,Tulsa,AAC,,,5,25,65.3,77.4,-12.13,,4.07,,-3.11,-4.95,-8.07,94.72,107.01,-12.29
276,Nicholls State,Southland,,,16,15,75.6,72.7,2.94,,-5.22,,-2.84,-5.24,-8.08,86.91,97.94,-11.03
277,Bowling Green State,MAC,,,11,20,76,78.5,-2.55,,-3.45,,0.06,-8.17,-8.11,96.92,108.3,-11.39
278,Dartmouth,Ivy,,,10,18,71.4,72.4,-1.04,,-2.68,,-3.36,-4.78,-8.14,91.94,103.41,-11.48
279,Boston University,Patriot,,,15,17,67.1,67.2,-0.13,,-6.57,,-7.04,-1.11,-8.15,91.7,103.72,-12.02
280,Southern,SWAC,,,15,17,71.9,71.3,0.63,,-6.13,,-3.65,-4.54,-8.2,90.45,102.04,-11.6
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
281,American,Patriot,,,17,15,65.4,65.9,-0.53,,-7.7,,-8.25,0.02,-8.23,94.5,106.67,-12.17
282,North Alabama,A-Sun,,,18,14,74.9,74.4,0.5,,-4.15,,-0.21,-8.04,-8.26,96.93,108.42,-11.5
283,Southern Indiana,OVC,,,16,16,76.5,74.1,2.44,,-7.34,,0.3,-8.56,-8.27,96.52,108.3,-11.78
284,Valparaiso,MVC,,,11,21,68.9,73.6,-4.66,,-2.31,,-3.85,-4.43,-8.28,92.45,104.32,-11.87
285,Louisiana-Monroe,Sun Belt,,,11,21,67.4,69.8,-2.44,,-0.27,,-6.57,-1.76,-8.34,91.1,103.32,-12.22
286,Idaho,Big Sky,,,10,22,73,72.9,0.09,,-3.56,,-3.33,-5.06,-8.39,97.11,110.15,-13.04
287,Marist,MAAC,,,13,20,63.9,66.7,-2.76,,-5.65,,-8.2,-0.21,-8.41,91.79,104.19,-12.4
288,Alcorn State,SWAC,,,18,13,68.1,70.6,-2.52,,-5.91,,-3.76,-4.67,-8.43,94.28,106.12,-11.83
289,Illinois-Chicago,MVC,,,12,20,67.2,71.6,-4.47,,-2.74,,-3.91,-4.54,-8.45,91.14,103.46,-12.32
290,Tennessee-Martin,OVC,,,19,14,80.5,75.4,5.12,,-7.74,,0.72,-9.22,-8.5,94.4,106.52,-12.12
291,Coastal Carolina,Sun Belt,,,11,20,73.3,74,-0.68,,-1.54,,-0.92,-7.8,-8.72,97.57,110.21,-12.64
292,Prairie View,SWAC,,,13,20,67.5,68.4,-0.91,,-6.48,,-7.77,-1.03,-8.8,85.2,97.42,-12.22
293,Tennessee State,OVC,,,18,14,78.1,75,3.06,,-8.77,,-1.07,-7.77,-8.84,94.52,107.42,-12.9
294,Maine,AEC,,,13,17,68.5,69.7,-1.23,,-4.69,,-6.09,-2.82,-8.9,93.14,106.32,-13.18
295,Lehigh,Patriot,,,16,14,69.8,69.4,0.4,,-6.05,,-4.66,-4.42,-9.08,90.18,103.59,-13.41
296,New Hampshire,AEC,,,15,15,66.4,67,-0.63,,-5.74,,-9.92,0.83,-9.1,90.82,103.97,-13.14
297,Denver,Summit,,,15,17,72.7,75.1,-2.41,,-5.44,,-1.92,-7.19,-9.11,93.96,107.42,-13.46
298,Tennessee Tech,OVC,,,16,17,73.7,73.4,0.33,,-6.19,,-3.26,-5.97,-9.23,95.21,108.28,-13.07
299,Kansas City,Summit,,,11,21,64.4,68.7,-4.34,,-2.8,,-10.23,0.93,-9.3,89.37,103.22,-13.85
300,Charleston Southern,Big South,,,10,21,72.6,74.4,-1.74,,-4.44,,-2.42,-6.98,-9.4,98.33,112.59,-14.26
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
301,South Dakota,Summit,,,12,19,69.3,73.6,-4.29,,-2.88,,-4.41,-5.02,-9.43,95.89,109.87,-13.98
302,Texas Southern,SWAC,,,14,20,69.4,71.6,-2.15,,-4.52,,-4.25,-5.24,-9.49,89.41,102.76,-13.35
303,Bucknell,Patriot,,,12,20,67.5,68.5,-0.97,,-7.13,,-5.62,-3.95,-9.57,88.92,103.51,-14.59
304,High Point,Big South,,,14,17,74.6,77.2,-2.58,,-5.19,,-0.66,-9.19,-9.85,93.12,107.14,-14.02
305,Manhattan,MAAC,,,12,18,67.2,70.4,-3.2,,-4.95,,-5.53,-4.36,-9.88,91.65,105.85,-14.21
306,Saint Peter's,MAAC,,,14,18,62.1,65.1,-3.03,,-5.25,,-11.05,1.16,-9.89,90.18,105.41,-15.24
307,Cal State Northridge,Big West,,,7,25,63.4,68.6,-5.19,,-1.27,,-9.2,-0.74,-9.94,89.85,105.1,-15.24
308,Western Michigan,MAC,,,8,23,69.9,74,-4.16,,-1.97,,-4.03,-6.16,-10.19,97.22,112.61,-15.39
309,Northeastern,CAA,,,10,20,65.3,71.7,-6.37,,-3.98,,-6.63,-3.72,-10.35,90.85,105.98,-15.13
310,Omaha,Summit,,,9,23,68.5,76.2,-7.69,,-1.41,,-3.77,-6.6,-10.37,94.11,109.4,-15.29
311,Alabama A&M,SWAC,,,15,18,69.6,70.9,-1.3,,-7.33,,-6,-4.4,-10.39,90.27,104.78,-14.52
312,Binghamton,AEC,,,13,18,68.8,71.5,-2.71,,-5.53,,-6.12,-4.35,-10.47,91.95,107.43,-15.48
313,Texas A&M-Commerce,Southland,,,13,20,71.6,73.4,-1.79,,-7.28,,-5.08,-5.54,-10.63,84.05,99.06,-15.01
314,Eastern Michigan,MAC,,,8,23,72.2,80.8,-8.58,,-1.54,,-0.75,-9.96,-10.71,95.87,110.79,-14.92
315,Jackson State,SWAC,,,14,19,67.6,73.6,-5.97,,-4.95,,-5,-5.92,-10.92,91.76,107.08,-15.33
316,Chicago State,Ind,,,11,20,70.3,73,-2.71,,-3.17,,-6.28,-4.66,-10.94,95.27,111.2,-15.93
317,William & Mary,CAA,,,13,20,67.2,70.3,-3.06,,-4.17,,-6.97,-4.01,-10.98,93.79,110.02,-16.23
318,North Carolina A&T,CAA,,,13,19,70.8,73.8,-3.06,,-3.78,,-3.03,-8.21,-11.23,91.79,107.89,-16.1
319,Fairleigh Dickinson,NEC,,,19,15,77.8,74.9,2.91,,-11.72,,1.18,-12.59,-11.41,98.65,114.78,-16.13
320,Morgan State,MEAC,,,15,16,74.9,72.3,2.61,,-5.98,,-5.08,-6.38,-11.46,86.77,102.44,-15.67
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
321,Merrimack,NEC,,,18,16,62.6,62.3,0.26,,-9.5,,-13.73,2.16,-11.57,82.46,98.91,-16.46
322,Central Michigan,MAC,,,10,21,65.7,73,-7.26,,-2.26,,-8.89,-2.72,-11.61,87.03,104.08,-17.04
323,Loyola (MD),Patriot,,,13,20,67.3,70.6,-3.3,,-6.08,,-7.51,-4.48,-11.98,91.81,110.08,-18.27
324,The Citadel,Southern,,,10,22,67.4,74.2,-6.75,,-3.62,,-6.74,-5.24,-11.98,91.36,108.76,-17.4
325,Wagner,NEC,,,15,13,63.1,61.7,1.39,,-11.28,,-14.5,2.26,-12.24,86.22,103.2,-16.98
326,Little Rock,OVC,,,10,21,75.4,79.4,-4,,-6.74,,0.1,-12.49,-12.39,95.43,112.77,-17.35
327,Stony Brook,CAA,,,11,22,63.1,69.1,-5.94,,-4.1,,-11.21,-1.21,-12.43,88.85,107.31,-18.46
328,Austin Peay,A-Sun,,,9,22,66.7,72.3,-5.61,,-2.73,,-9.47,-2.99,-12.46,87.08,104.59,-17.51
329,Arkansas-Pine Bluff,SWAC,,,10,21,66.9,69.7,-2.84,,-4.88,,-6.61,-5.9,-12.51,86.83,104.88,-18.05
330,NJIT,AEC,,,7,23,66.9,72.7,-5.8,,-5.68,,-6.82,-5.82,-12.64,90.62,109.45,-18.83
331,Elon,CAA,,,8,24,65.4,71.6,-6.16,,-4.32,,-8.26,-4.52,-12.78,90.82,109.42,-18.6
332,Sacred Heart,NEC,,,16,17,70.7,71.2,-0.58,,-11.31,,-4.77,-8.42,-13.19,89.09,107.53,-18.44
333,McNeese State,Southland,,,11,23,69.2,75.4,-6.26,,-5.06,,-6.71,-6.5,-13.21,91.02,110.12,-19.1
334,Stonehill,NEC,,,14,17,67,69.6,-2.61,,-8.98,,-8.56,-4.69,-13.25,87.82,106.67,-18.85
335,Presbyterian,Big South,,,5,27,63.2,69.5,-6.31,,-5.05,,-11.38,-2.21,-13.58,87.34,108.15,-20.81
336,Central Arkansas,A-Sun,,,9,22,72.9,81.5,-8.58,,-3.07,,-0.7,-12.93,-13.63,90.82,109.58,-18.76
337,Eastern Illinois,OVC,,,9,22,68.8,72.1,-3.26,,-6.5,,-8.89,-4.96,-13.84,87.5,107.43,-19.94
338,New Orleans,Southland,,,12,20,73.1,79.3,-6.13,,-6.99,,-2.42,-11.44,-13.86,89.96,109.24,-19.28
339,Saint Francis (PA),NEC,,,13,18,73,73.7,-0.74,,-9.77,,-3.57,-10.33,-13.91,93.71,114.04,-20.33
340,Central Connecticut State,NEC,,,10,22,66,70.2,-4.19,,-9.86,,-9.23,-4.82,-14.05,89.94,110.22,-20.28
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
341,Holy Cross,Patriot,,,10,22,66.8,72.6,-5.88,,-6.4,,-7.41,-6.86,-14.27,87.01,107.66,-20.65
342,Albany (NY),AEC,,,8,23,67.3,75.2,-7.94,,-4.55,,-6.28,-8.1,-14.38,91.43,112.63,-21.2
343,Lindenwood,OVC,,,11,21,69.6,73.8,-4.25,,-6.1,,-7.65,-6.9,-14.55,88.26,108.88,-20.62
344,Coppin State,MEAC,,,9,23,72,83.2,-11.16,,-3.45,,-0.46,-14.15,-14.61,92.37,112.39,-20.02
345,Columbia,Ivy,,,7,22,67.8,75.8,-7.97,,-2.65,,-6.67,-7.98,-14.65,87,107.28,-20.28
346,Evansville,MVC,,,5,27,62.4,76,-13.59,,-1.12,,-8.48,-6.23,-14.71,85.33,106.11,-20.78
347,Incarnate Word,Southland,,,12,19,70.8,73.9,-3.1,,-8.03,,-7.8,-7.06,-14.86,84.12,104.84,-20.73
348,Hampton,CAA,,,8,24,68.2,77.5,-9.31,,-4.56,,-5.33,-9.77,-15.1,90.47,111.76,-21.29
349,Monmouth,CAA,,,7,26,61.7,74.7,-13.03,,-2.61,,-9.55,-6.09,-15.64,85.49,108.73,-23.24
350,Alabama State,SWAC,,,8,23,63.3,72.6,-9.32,,-5.94,,-10.99,-4.98,-15.97,85.29,107.72,-22.43
351,VMI,Southern,,,7,25,69.4,76.8,-7.41,,-3.44,,-6.53,-9.6,-16.13,91.25,115.09,-23.83
352,Bethune-Cookman,SWAC,,,13,20,67.6,74.5,-6.88,,-7.5,,-7.05,-9.42,-16.47,84.98,107.97,-22.99
353,South Carolina State,MEAC,,,5,26,73.4,83.8,-10.48,,-3.97,,-1.58,-14.99,-16.57,90.97,113.03,-22.06
354,Houston Christian,Southland,,,10,22,77.6,83.1,-5.5,,-6.61,,-1.36,-15.49,-16.86,92.47,115.62,-23.15
355,Lamar,Southland,,,9,22,67.9,74.5,-6.68,,-7.25,,-9.81,-7.19,-17,86.35,110.47,-24.12
356,St. Francis (NY),NEC,,,14,16,64.9,67.8,-2.93,,-11.7,,-13.04,-3.98,-17.02,82.81,107.5,-24.7
357,Florida A&M,SWAC,,,7,22,58.6,70,-11.38,,-4.62,,-14.21,-3.23,-17.44,82.89,108.6,-25.71
358,Delaware State,MEAC,,,6,24,64.6,75.5,-10.87,,-4.96,,-10.1,-7.61,-17.71,85.44,110.35,-24.91
359,Mississippi Valley State,SWAC,,,5,27,61,74.8,-13.72,,-4.11,,-11.21,-6.62,-17.83,83.78,109.4,-25.62
360,IUPUI,Horizon,,,5,27,65.3,76.8,-11.47,,-5.28,,-8.78,-9.94,-18.72,87.96,115.23,-27.27
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
361,Green Bay,Horizon,,,3,29,59.3,76.5,-17.16,,-2.95,,-13.8,-6.31,-20.11,83.21,113.3,-30.1
362,Hartford,Ind,,,5,23,62.8,71.1,-8.36,,-8.18,,-14.81,-8.53,-23.34,80.99,115.34,-34.36
363,Long Island University,NEC,,,3,26,66.7,80,-13.24,,-6.37,,-9.62,-15.43,-25.05,77.22,109.2,-31.98
